table_id,family,N_prime,j,m_j,nu_j,T_j,D_j,r_j_native,rL_j_deployed_128K,eps_gap_next,lambda_gap_next,rho_gap_next
ramp_N17,ramp,17,39,0.8888888888888888,6.435548435522852e-05,97632.47639467285,112360.68332051796,1.150853562971273,1.3425041015056312,0.11111111111111116,1.1665290395761168,1.4475899342234404
ramp_N17,ramp,17,40,1.0,4.445698525097308e-05,141331.79008223594,131072.0,0.9274063529778678,0.9274063529778678,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,41,1.0,3.582531425592411e-05,175383.95510768177,131072.0,0.7473431644275826,0.7473431644275826,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,42,1.0,2.8869549617236462e-05,217640.57252310694,131072.0,0.6022406506309115,0.6022406506309115,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,43,1.0,2.326430102324246e-05,270078.40471554676,131072.0,0.48531092346331156,0.48531092346331156,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,44,1.0,1.8747355233311403e-05,335150.49077510694,131072.0,0.39108401630822043,0.39108401630822043,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,45,1.0,1.510740975595334e-05,415900.8995373007,131072.0,0.31515199930036364,0.31515199930036364,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,46,1.0,1.2174188129146581e-05,516107.1309664443,131072.0,0.2539627765936098,0.2539627765936098,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,47,1.0,9.810474396211334e-06,640456.8274094944,131072.0,0.20465391950017478,0.20465391950017478,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,48,1.0,7.90569415042095e-06,794767.0612636878,131072.0,0.16491876222398316,0.16491876222398316,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,49,1.0,6.3707418699483745e-06,986256.4573237845,131072.0,0.13289849615349036,0.13289849615349036,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,50,1.0,5.133812566142867e-06,1223882.8796783022,131072.0,0.10709521489053944,0.10709521489053944,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,51,1.0,4.1370427498579515e-06,1518762.4801303598,131072.0,0.08630184226617825,0.08630184226617825,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,52,1.0,3.3338035804083114e-06,1884689.711206695,131072.0,0.06954566537962346,0.06954566537962346,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,53,1.0,2.6865195708032973e-06,2338782.6299366388,131072.0,0.05604283113884377,0.05604283113884377,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,54,1.0,2.1649108084001642e-06,2902283.679678593,131072.0,0.04516167765327312,0.04516167765327312,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,55,1.0,1.744576462149665e-06,3601553.4105266174,131072.0,0.036393185123092406,0.036393185123092406,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,56,1.0,1.4058533129758732e-06,4469303.624486615,131072.0,0.02932716391920142,0.02932716391920142,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,57,1.0,1.132895909400206e-06,5546127.631889959,131072.0,0.02363306593348889,0.02363306593348889,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,58,1.0,9.129353181370947e-07,6882399.204360769,131072.0,0.019044521555354015,0.019044521555354015,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,59,1.0,7.356817940523201e-07,8540629.057258878,131072.0,0.015346878915037164,0.015346878915037164,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,60,1.0,5.928434264154141e-07,10598389.09772589,131072.0,0.012367162480204117,0.012367162480204117,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,61,1.0,4.777382437426107e-07,13151941.234507393,131072.0,0.009965981269449408,0.009965981269449408,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,62,1.0,3.849816315148732e-07,16320740.505087825,131072.0,0.008031008149363054,0.008031008149363054,0.0,1.0,1.2409377607517196
ramp_N17,ramp,17,63,1.0,3.102344401879298e-07,20253023.17619359,131072.0,0.006471725177013007,0.006471725177013007,,,
ramp_N16,ramp,16,0,0.0,1.0,6.283185307179586,32768.0,5215.189175235227,20860.756700940907,0.0,1.0,1.2409377607517196
ramp_N16,ramp,16,1,0.0,0.8058421877614819,7.79704190547954,32768.0,4202.6194545615535,16810.477818246214,0.0,1.0,1.2409377607517196
ramp_N16,ramp,16,2,0.0,0.6493816315762113,9.675643722673103,32768.0,3386.6480555928474,13546.59222237139,0.0,1.0,1.2409377607517196
ramp_N16,ramp,16,3,0.0,0.5232991146814947,12.00687165504539,32768.0,2729.1038782971086,10916.415513188434,0.0,1.0,1.2409377607517196
ramp_N16,ramp,16,4,0.0,0.4216965034285823,14.89978042524532,32768.0,2199.2270399152867,8796.908159661147,0.0,1.0,1.2409377607517196
ramp_N16,ramp,16,5,0.0,0.33982083289425596,18.489700156596232,32768.0,1772.2299292295424,7088.91971691817,0.0,1.0,1.2409377607517196
ramp_N16,ramp,16,6,0.0,0.27384196342643613,22.944567109297246,32768.0,1428.1376433867106,5712.550573546842,0.0,1.0,1.2409377607517196
ramp_N16,ramp,16,7,0.0,0.220673406908459,28.47277973002888,32768.0,1150.8535629712737,4603.414251885095,0.0,1.0,1.2409377607517196
ramp_N16,ramp,16,8,0.0,0.1778279410038923,35.33294752055899,32768.0,927.4063529778675,3709.62541191147,0.0,1.0,1.2409377607517196
ramp_N16,ramp,16,9,0.0,0.14330125702369628,43.84598877692049,32768.0,747.3431644275819,2989.3726577103275,0.0,1.0,1.2409377607517196
ramp_N16,ramp,16,10,0.0,0.11547819846894583,54.41014313077674,32768.0,602.2406506309114,2408.9626025236457,0.0,1.0,1.2409377607517196
ramp_N16,ramp,16,11,0.0,0.0930572040929699,67.51960117888665,32768.0,485.31092346331184,1941.2436938532474,0.0,1.0,1.2409377607517196
ramp_N16,ramp,16,12,0.0,0.07498942093324559,83.78762269377675,32768.0,391.0840163082203,1564.3360652328813,0.0,1.0,1.2409377607517196
ramp_N16,ramp,16,13,0.0,0.060429639023813285,103.9752248843253,32768.0,315.1519993003633,1260.6079972014531,0.0,1.0,1.2409377607517196
